Rank,Module genes,Cancer type,p,FDR
149,"CRK, DOCK5, PTPN12, RHOG",Pancreas,5.40E-07,0.000235
150,"CRK, DOCK5, NCKAP1, RAPH1",Pancreas,5.40E-07,0.000235
151,"ABCC9, C12orf77, C2CD5, CASC1, CLEC6A, GYS2, IAPP, KCNJ8, KLHL42, MANSC4, PTHLH, RASSF8, SLCO1C1, SOX5, SPX",Thyroid,5.63E-07,9.50E-05
152,"BICD1, C12orf77, FAM60A, FAR2, H3F3C, IL17RE, ITPR2, KLHL42, LMNTD1, METTL20, RASSF8, SYT10, TM7SF3, TMTC1, TSPAN11",Thyroid,5.63E-07,9.50E-05
153,"AAMDC, ACAT1, ACER3, ACY3, ADRBK1, AHNAK, ALDH3B2, ANGPTL5, ANKRD42, ANO1, AP5B1, APOA1, ARAP1, ARHGEF17, ARRB1, ASRGL1, ATG16L2, ATG2A, B3GNT1, B3GNT6, BACE1, BAD, BATF2, BBS1, BEST1, BIRC3, BRMS1, BSCL2, C11orf1, C11orf24, C11orf48, C11orf53, C11orf54, C11orf70, C11orf80, C11orf84, C11orf85, C11orf86, C11orf87, C11orf88, CABP2, CABP4, CAPN1, CAPN5, CARNS1, CASP4, CATSPER1, CCDC36, CCDC81, CCDC82, CCDC83, CCDC85B, CCDC87, CCDC88B, CCDC89, CD248, CD5, CD6, CDC42BPG, CDC42EP2, CDK2AP2, CHKA, CHRDL2, CHRM1, CLCF1, CLDN25, CNIH2, CNTN5, COA4, CORO1B, CPSF7, CPT1A, CREBZF, CST6, CTSC, CTSF, CTSW, CTTN, CXCR5, CYB561A3, DAGLA, DAK, DCUN1D5, DDI1, DEFB108B, DEFB130, DEFB131, DGAT2, DHCR7, DIXDC1, DLG2, DNAJB13, DNAJC4, DPP3, DSCAML1, DYNC2H1, EFEMP2, EHBP1L1, EHD1, EML3, ENDOD1, FADS1, FADS2, FAM168A, FAM76B, FAM89B, FCHSD2, FERMT3, FGF19, FGF3, FGF4, FKBP2, FLRT1, FOLH1, FOLR1, FOLR2, FOSL1, FRMD8, FTH1, FUT4, FZD4, GAB2, GAL, GAL3ST3, GDPD4, GDPD5, GLYATL2, GNG3, GPHA2, GPR137, GPR152, GPR83, GRM5, GSTP1, HEPHL1, HNRNPUL2, HRASLS2, HRASLS5, HTR3A, HTR3B, IGHMBP2, IL18BP, INPPL1, KBTBD3, KCNE3, KCNK4, KCNK7, KCTD14, KCTD21, KDELC2, KDM4D, KDM4E, KIAA1377, KLC2, KRTAP5-1, KRTAP5-10, KRTAP5-3, KRTAP5-7, KRTAP5-9, LGALS12, LRFN4, LRP5, LRRC10B, LRRC32, LRTOMT, LTBP3, MACROD1, MAML2, MAP3K11, MAP4K2, MAP6, METTL12, MMP1, MMP10, MMP13, MMP20, MMP27, MMP3, MMP7, MMP8, MOGAT2, MPEG1, MRGPRD, MRGPRF, MS4A10, MS4A13, MS4A15, MS4A2, MS4A3, MS4A4A, MS4A6A, MS4A6E, MS4A8, MTL5, MTMR2, MUS81, MYEOV, MYO7A, MYRF, NAA40, NAALAD2, NAALADL1, NADSYN1, NDUFV1, NEU3, NOX4, NPAS4, NRXN2, NUDT22, NUDT8, OMP, OR10V1, OR2AT4, OR5A1, OR5B2, P2RY2, P2RY6, P4HA3, PAAF1, PACS1, PAK1, PANX1, PC, PCNXL3, PDE2A, PELI3, PGA3, PGM2L1, PGR, PHOX2A, PICALM, PITPNM1, PIWIL4, PLA2G16, PLCB3, PLEKHB1, POLD4, PPP1CA, PPP1R14B, PPP1R32, PPP2R5B, PRCP, PRDX5, PRG3, PRSS23, PTPRCAP, PVRL1, PYGM, RAB1B, RAB30, RAB3IL1, RARRES3, RASGRP2, RBM4B, RCE1, RCOR2, RELA, RELT, RHOD, RIN1, RNF121, RNF169, ROM1, RPS6KA4, RPS6KB2, RTN3, RTN4RL2, SAC3D1, SCGB1A1, SCGB1D1, SCGB1D2, SCGB1D4, SCGB2A1, SCGB2A2, SCYL1, SDHAF2, SERPINH1, SESN3, SIPA1, SLC22A10, SLC22A11, SLC22A12, SLC22A25, SLC22A6, SLC22A8, SLC22A9, SLC25A45, SLC29A2, SLC36A4, SLCO2B1, SNX15, SNX32, SPDYC, SPTBN2, SSH3, SSSCA1, STARD10, SUV420H1, SYT12, SYT7, SYTL2, TAF6L, TBC1D10C, TBX10, TCIRG1, TENM4, THRSP, TIGD3, TM7SF2, TMEM109, TMEM123, TMEM133, TMEM134, TMEM151A, TMEM179B, TMEM216, TMEM223, TMEM262, TNKS1BP1, TPBGL, TPCN2, TRIM48, TRIM49D1, TRIM64B, TRPT1, TSKU, TTC9C, TYR, UCP2, UCP3, UQCC3, USP35, VEGFB, VPS37C, VSTM5, VWCE, WNT11, XRRA1, YAP1, YIF1A, YPEL4, ZBTB3, ZDHHC24, ZFPL1, ZNF20, ZNF705A",Autonomic ganglia,5.69E-07,0.000112
154,"AASS, ABCB1, ABCB4, ABHD11, ACHE, ACN9, ACTL6B, ACTR3B, ADAM22, AGBL3, AGFG2, AGK, AHCYL2, ALKBH4, ANKIB1, ANKRD7, AP1S1, AP4M1, ARF5, ARHGEF5, ARMC10, ARPC1A, ARPC1B, ASB4, ASL, ASZ1, ATP5J2, ATP6V0A4, ATXN7L1, AUTS2, AZGP1, BAIAP2L1, BAZ1B, BCAP29, BET1, BHLHA15, BRAF, BRI3, BUD31, C7orf43, C7orf61, C7orf63, C7orf73, CACNA2D1, CALCR, CALD1, CALN1, CASP2, CAV1, CAV2, CCDC132, CCDC136, CCDC146, CCL24, CCL26, CD36, CDHR3, CDK14, CDK3, CEP41, CFTR, CHRM2, CLDN15, CLDN3, CLDN4, CLEC2L, CLIP2, CNPY4, CNTNAP2, COG5, COPS6, CPA1, CPA2, CPA4, CPA5, CPED1, CPSF4, CRCP, CROT, CTAGE4, CTTNBP2, CUL1, CUX1, CYP3A4, CYP3A43, CYP3A5, CYP3A7, CYP51A1, DENND2A, DLX5, DLX6, DNAJB9, DNAJC2, DNAJC30, DOCK4, DTX2, DUS4L, DYNC1I1, EIF4H, ELN, EPHB4, EPHB6, EPO, ERV3-1, ERVW-1, EXOC4, FAM115C, FAM131B, FAM185A, FAM200A, FAM71F1, FAM71F2, FBXL13, FBXO24, FGL2, FKBP6, FLNC, FOXP2, FSCN3, FZD1, FZD9, GAL3ST4, GATAD1, GATS, GATSL2, GCC1, GIGYF1, GIMAP5, GJC3, GNAI1, GNAT3, GNB2, GNG11, GNGT1, GPC2, GPR37, GPR85, GRM3, GRM8, GSAP, GTF2IRD1, GTF2IRD2, GTPBP10, GUSB, HBP1, HEPACAM2, HGF, HILPDA, HIP1, HTR5A, HYAL4, IFRD1, IFT22, IMMP2L, IQUB, IRF5, KCND2, KCTD7, KDM7A, KEL, KIAA1147, KIAA1324L, KLF14, KLHDC10, KLRG2, KMT2E, KPNA7, LAMB1, LAMB4, LAMTOR4, LAT2, LEP, LIMK1, LMOD2, LMTK2, LRCH4, LRGUK, LRRC17, LRRC4, LRRD1, LRRN3, LRWD1, LSM8, LSMEM1, MAGI2, MAP2K2, MBLAC1, MCM7, MDH2, MEPCE, METTL2B, MKLN1, MKRN1, MLXIPL, MOGAT3, MOSPD3, MRPS33, MTRNR2L6, MUC12, MUC17, MYL10, NAPEPLD, NAT16, NCAPG2, NCF1, NOM1, NPTX2, NRCAM, NSUN5, NUP205, NUPR1L, NYAP1, OCM2, OPN1SW, OR2AE1, OR9A2, OR9A4, ORAI2, ORC5, PARP12, PAX4, PCLO, PCOLCE, PDIA4, PDK4, PEG10, PHTF2, PIK3CG, PILRA, PILRB, PLOD3, PMPCB, PMS2, PNPLA8, PODXL, POLR2J, POM121, POM121C, POMZP3, PON1, PON2, PON3, POP7, POR, PPP1R35, PPP1R3A, PRKAR2B, PRKRIP1, PRRT4, PRSS1, PRSS37, PSMC2, PTCD1, PTPRZ1, PUS7, PVRIG, RAB19, RABGEF1, RASA4, RASA4B, RBM28, RBM33, RBM48, RELN, REPIN1, RHBDD2, RINT1, RNF148, RSBN1L, RUNDC3B, SAMD9, SAMD9L, SAP25, SEMA3A, SEMA3C, SEMA3D, SEMA3E, SEPT14, SERPINE1, SHFM1, SLC12A9, SLC25A13, SLC25A40, SLC26A3, SLC26A4, SLC26A5, SLC29A4, SLC37A3, SMARCD3, SMKR1, SMO, SMURF1, SPAM1, SPDYE1, SPDYE2, SPDYE3, SRI, SRPK2, SRRT, SSBP1, SSC4D, SSMEM1, ST7, STAG3, STEAP2, STEAP4, STRA8, STRIP2, STX1A, STYXL1, SYPL1, TAF6, TAS2R3, TAS2R38, TAS2R39, TAS2R4, TAS2R41, TAS2R5, TAS2R60, TBL2, TBXAS1, TECPR1, TES, TFPI2, TFR2, THAP5, TMEM130, TMEM139, TMEM140, TMEM168, TMEM209, TMEM229A, TMEM243, TMEM248, TMEM60, TNPO3, TPST1, TRIM4, TRIM50, TRIM56, TRIM73, TRIM74, TRIP6, TRPV5, TRRAP, TSC22D4, TSGA13, TSPAN12, TSPAN33, TTC26, TYW1, TYW1B, UFSP1, UPK3B, UPK3BL, VGF, VKORC1L1, VPS37D, WBSCR16, WBSCR17, WBSCR22, WBSCR27, WBSCR28, WDR91, WEE2, WNT16, WNT2, YWHAG, ZC3HAV1, ZC3HAV1L, ZC3HC1, ZCWPW1, ZKSCAN1, ZKSCAN5, ZNF117, ZNF138, ZNF273, ZNF277, ZNF3, ZNF394, ZNF425, ZNF467, ZNF479, ZNF655, ZNF679, ZNF727P, ZNF736, ZNF746, ZNF783, ZNF789, ZNF800, ZNF804B, ZNF92, ZNHIT1, ZP3, ZSCAN21, ZSCAN25",Skin,5.71E-07,0.000103
155,"ACTL6A, AP2M1, ECT2, EIF2B5, EIF4G1, LSG1, NCBP2, NMD3, PDCD6, POLR2H, PSMD2, RFC4, RPL35A, SMC4, YEATS2",Autonomic ganglia,5.78E-07,0.000112
156,"ABCC9, AEBP2, C12orf77, CASC1, FAR2, GYS2, IAPP, ITPR2, KCNJ8, KLHL42, MANSC4, METTL20, PLCZ1, RASSF8, SLCO1C1, SPX",Thyroid,6.01E-07,9.81E-05
157,"AASS, ABCB1, ABCB4, ABCB8, ABCF2, ABHD11, ACHE, ACN9, ACTL6B, ACTR3B, ADAM22, ADCK2, AGBL3, AGFG2, AHCYL2, AKR1D1, ALKBH4, ANKIB1, ANKRD7, AOC1, AP1S1, AP4M1, ARF5, ARHGEF35, ARHGEF5, ARMC10, ARPC1A, ARPC1B, ASB10, ASB15, ASB4, ASIC3, ASL, ASZ1, ATP6V0A4, ATP6V0E2, ATXN7L1, AUTS2, AZGP1, BAIAP2L1, BAZ1B, BCAP29, BHLHA15, BPGM, BRAF, BRI3, C7orf33, C7orf43, C7orf49, C7orf55, C7orf61, C7orf62, C7orf63, C7orf73, CACNA2D1, CADPS2, CALCR, CALD1, CALN1, CALU, CAPZA2, CASP2, CAV1, CAV2, CCDC132, CCDC136, CCDC146, CCDC71L, CCL24, CCL26, CD36, CDHR3, CDK14, CDK3, CDK5, CEP41, CFTR, CHPF2, CHRM2, CLCN1, CLDN15, CLDN3, CLDN4, CLEC2L, CLEC5A, CLIP2, CNPY4, CNTNAP2, COL1A2, CPA1, CPA2, CPA4, CPA5, CPED1, CREB3L2, CROT, CRYGN, CTAGE4, CTAGE9, CTTNBP2, CUX1, CYP3A4, CYP3A43, CYP3A5, CYP3A7, CYP51A1, DENND2A, DGKI, DLX5, DLX6, DMTF1, DNAJB9, DNAJC30, DOCK4, DPY19L2, DTX2, DUS4L, DYNC1I1, EIF4H, ELN, EN2, EPHA1, EPHB4, EPHB6, EPO, ERV3-1, ERVW-1, ESYT2, FAM115A, FAM115C, FAM131B, FAM180A, FAM185A, FAM200A, FAM71F1, FAM71F2, FBXL13, FBXO24, FEZF1, FGL2, FKBP6, FLNC, FOXP2, FSCN3, FZD1, FZD9, GAL3ST4, GALNT11, GALNTL5, GATAD1, GATS, GATSL2, GCC1, GIGYF1, GIMAP5, GJC3, GNAI1, GNAT3, GNB2, GNG11, GNGT1, GPC2, GPR37, GPR85, GRM3, GRM8, GSAP, GTF2IRD1, GTF2IRD2, GUSB, HBP1, HEPACAM2, HGF, HILPDA, HIP1, HTR5A, HYAL4, IFRD1, IFT22, IMMP2L, IQUB, IRF5, KCND2, KCTD7, KDM7A, KEL, KIAA1147, KIAA1324L, KIAA1549, KLF14, KLHDC10, KLRG2, KMT2E, KPNA7, LAMB1, LAMB4, LAT2, LEP, LIMK1, LMBR1, LMOD2, LMTK2, LRCH4, LRGUK, LRRC17, LRRC4, LRRD1, LRRN3, LRWD1, LSMEM1, MAGI2, MAP2K2, MBLAC1, MDFIC, MDH2, MEST, MET, METTL2B, MGAM, MKLN1, MKRN1, MLXIPL, MOGAT3, MOSPD3, MRPS33, MTRNR2L6, MUC12, MUC17, MYL10, NAPEPLD, NAT16, NCF1, NOS3, NPTX2, NRCAM, NSUN5, NUPR1L, NYAP1, OCM2, OPN1SW, OR2A2, OR2A5, OR2A7, OR2AE1, OR2F2, OR2M5, OR6B1, OR6V1, OR9A2, OR9A4, ORAI2, PARP12, PAX4, PCLO, PCOLCE, PDIA4, PDK4, PEG10, PHKG1, PHTF2, PIK3CG, PILRA, PILRB, PLOD3, PMS2, PNPLA8, PODXL, POM121, POM121C, POMZP3, PON1, PON2, PON3, POR, PPP1R35, PPP1R3A, PPP1R9A, PRKAG2, PRKAR2B, PRKRIP1, PRRT4, PRSS1, PRSS37, PRSS58, PTCD1, PTPRN2, PTPRZ1, PUS7, PVRIG, RAB19, RABGEF1, RASA4, RASA4B, RBM28, RELN, REPIN1, RHBDD2, RNF133, RNF148, RSBN1L, RUNDC3B, SAMD9, SAMD9L, SAP25, SCARB1, SEMA3A, SEMA3C, SEMA3D, SEMA3E, SEPT14, SERPINE1, SGCE, SLC12A9, SLC13A1, SLC25A13, SLC25A40, SLC26A3, SLC26A4, SLC26A5, SLC29A4, SLC37A3, SMARCD3, SMKR1, SMO, SMURF1, SPAM1, SPDYE1, SPDYE2, SRI, SRPK2, SSC4D, SSMEM1, ST7, STAG3, STEAP2, STEAP4, STRA8, STRIP2, STX1A, STX3, STYXL1, SVOPL, SYPL1, TAC1, TAS2R16, TAS2R3, TAS2R38, TAS2R39, TAS2R4, TAS2R40, TAS2R41, TAS2R5, TAS2R60, TBL2, TBXAS1, TECPR1, TES, TFPI2, TFR2, THAP5, TMEM130, TMEM139, TMEM140, TMEM168, TMEM176A, TMEM176B, TMEM209, TMEM213, TMEM229A, TMEM243, TMEM248, TMEM60, TMUB1, TPST1, TRIM4, TRIM50, TRIM56, TRIM73, TRIM74, TRIP6, TRPV5, TRPV6, TSC22D4, TSGA13, TSN, TSPAN12, TSPAN33, TTC26, TYW1, TYW1B, UBN2, UFSP1, UPK3B, UPK3BL, VGF, VKORC1L1, VPS37D, WBSCR16, WBSCR17, WBSCR27, WBSCR28, WDR91, WEE2, WNT16, WNT2, YWHAG, ZBED6CL, ZC3HAV1, ZC3HAV1L, ZC3HC1, ZCWPW1, ZKSCAN1, ZKSCAN5, ZNF107, ZNF117, ZNF138, ZNF212, ZNF273, ZNF277, ZNF282, ZNF3, ZNF394, ZNF398, ZNF425, ZNF467, ZNF479, ZNF648, ZNF655, ZNF679, ZNF727P, ZNF736, ZNF746, ZNF775, ZNF777, ZNF783, ZNF789, ZNF800, ZNF804B, ZNF862, ZNF92, ZP3, ZSCAN21, ZSCAN25",Skin,6.37E-07,0.000111
158,"ACTL6A, ACTR5, ACTR8, BRD1, EP300, INO80, INO80B, INO80C, INO80D, INO80E, KAT7, NFRKB, PAGR1, PIH1D1, TAF13, TBRG1, TFPT, UCHL5",Autonomic ganglia,6.93E-07,0.000125
159,"ACTL6A, ACTR5, ACTR8, BRD1, EP300, INO80, INO80B, INO80C, INO80D, INO80E, KAT7, NFRKB, PAGR1, PIH1D1, TAF13, TBRG1, TFPT, UCHL5",Autonomic ganglia,6.93E-07,0.000125
160,"EOMES, IQSEC1, MS4A7, NKIRAS1, NR1D2, PPARG, SETMAR, THRB",Urinary tract,7.12E-07,0.001242
161,"AMN1, BHLHE41, C12orf71, C12orf77, ERGIC2, FAR2, GYS2, H3F3C, ITPR2, KCNJ8, KLHL42, LMNTD1, MANSC4, METTL20, PTHLH, RASSF8, TM7SF3, TMTC1, TSPAN11",Thyroid,7.13E-07,0.000111
162,"ACTL6A, ACTR6, BAP1, BRD2, CFAP20, CFDP1, DMAP1, H2AFZ, KANSL1, KANSL2, KANSL3, KAT8, KDM2A, MCRS1, PHF23, SRCAP, VPS72, YEATS4, ZNHIT1",Autonomic ganglia,7.32E-07,0.000128
163,"C12orf77, C2CD5, CASC1, ERGIC2, FAR2, GYS2, IAPP, ITPR2, KCNJ8, KLHL42, LMNTD1, MANSC4, METTL20, PTHLH, RASSF8, SLCO1A2, SLCO1C1, SPX, TMTC1, TSPAN11",Thyroid,7.51E-07,0.000111
164,"AEBP2, AMN1, C12orf77, CAPZA3, ERGIC2, FAR2, GYS2, IAPP, ITPR2, KCNJ8, KLHL42, MANSC4, METTL20, PTHLH, RASSF8, SLCO1C1, SPX, TM7SF3, TMTC1, TSPAN11",Thyroid,7.51E-07,0.000111
165,"CCNE1, KIDINS220, MECOM, PAX8, XPR1",Ovary,7.88E-07,0.001377
166,"ABCC9, C12orf77, C2CD5, CASC1, ERGIC2, FAR2, GYS2, IAPP, ITPR2, KCNJ8, KLHL42, LMNTD1, MANSC4, METTL20, PTHLH, RASSF8, SOX5, SPX, TM7SF3, TMTC1, TSPAN11",Thyroid,7.88E-07,0.000111
167,"AMN1, C12orf71, C12orf77, C2CD5, ERGIC2, ETNK1, FAR2, GYS2, IAPP, ITPR2, KCNJ8, KLHL42, LMNTD1, MANSC4, METTL20, RASSF8, STK38L, SYT10, TM7SF3, TMTC1, TSPAN11",Thyroid,7.88E-07,0.000111
168,"ARHGAP29, PARD3, PARD6B, PAX8, PRKCI",Ovary,7.90E-07,0.001377
169,"CRB3, PARD3, PARD6B, PAX8, PRKCI",Ovary,7.90E-07,0.001377
170,"GPRC5C, LPCAT1, MARCH6, STK39, TMEM189, ZEB2",Skin,8.87E-07,0.000145
171,"CDS2, DIP2C, MTF1, SLC30A1, SPI1, ZEB2",Skin,8.87E-07,0.000145
172,"B4GALT1, BEST3, CCT2, CPM, CPSF6, DDX1, EOGT, FAM3C, FAM49A, FGF8, FGFR4, FRS2, ITCH, LFNG, LRRC10, LYZ, MDM2, MEGF10, MYCN, MYOD1, MYOG, NUP107, OXLD1, PAX3, PDK1, PTPRG, RAB3IP, RAP1B, RBPJ, RUNX2, SLC35E3, SOX8, SPG20, ST3GAL4, TCF12, YEATS4, ZBTB18",Soft tissue,1.02E-06,0.002675
173,"ADCK1, CLOCK, NFATC2, SH2D2A, SLITRK6, VSIG2",Skin,1.05E-06,0.000166
174,"EPS15, FUT4, KRT4, LIMD1, METTL7A, NFATC2, PRKCD",Skin,1.22E-06,0.000188
175,"AEBP2, AK4, AMN1, ARNTL2, BICD1, C12orf71, C12orf77, CAPRIN2, CASC1, ERGIC2, FAM60A, FAR2, GRIN2B, GYS2, IAPP, ITPR2, KCNJ8, KIAA1551, KLHL42, LMNTD1, MANSC4, METTL20, PPFIBP1, PTHLH, RASSF8, REP15, SPX, SSPN, STK38L, SYT10, TM7SF3, TMTC1, TSPAN11",Thyroid,1.24E-06,0.000168
176,"CSNK2A1, CSNK2A2, CSNK2A3, CSNK2B, KANSL3, KIDINS220, PAX8, XPR1",Ovary,1.26E-06,0.001648
177,"AADAT, AASDH, ABCG2, ACOX3, ACSL1, ADAD1, ADAM29, ADAMTS3, ADH1A, ADH1B, ADH4, ADH5, ADH6, ADH7, AFF1, AFM, AFP, AGA, AGPAT9, ALB, ALPK1, AMBN, AMTN, ANK2, ANKRD17, ANKRD37, ANKRD50, ANTXR2, ANXA3, ANXA5, AP1AR, APBB2, AREG, ARFIP1, ARHGAP10, ARHGAP24, ARHGEF38, ARL9, ARPC1A, ARSJ, ART3, ASB5, ASIC5, ATOH1, AXL, BANK1, BBS12, BBS7, BDH2, BMP2K, BMP3, BMPR1B, BTC, C12orf75, C1orf204, C4orf17, C4orf22, C4orf26, C4orf27, C4orf3, C4orf33, C4orf36, C4orf46, C4orf47, C4orf51, CABS1, CAMK2D, CASP3, CASP6, CBR4, CCBL1, CCDC109B, CCDC148, CCDC158, CCNG2, CCNI, CCRN4L, CCSER1, CDKL2, CDS1, CEP135, CFI, CHIC2, CISD2, CLDN24, CLGN, CLOCK, CNOT6L, COL25A1, COX18, CPE, CSN1S1, CSN2, CSN3, CWH43, CXCL1, CXCL10, CXCL11, CXCL13, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CXCL9, CXXC4, CYP2U1, CYP4V2, DAPP1, DCHS2, DCK, DCUN1D4, DDIT4L, DDX60, DKK2, DMP1, DNAJB14, DSPP, DYNLL2, EDNRA, EGF, EIF4E, ELOVL6, EMCN, ENAM, ENOPH1, ENPEP, ENPP6, EPGN, EPHA5, EREG, ERGIC1, ESCO1, ETFDH, ETNPPL, EXOSC9, EYA1, F11, FABP2, FAM13A, FAM149A, FAM150B, FAM160A1, FAM175A, FAM198B, FAM218A, FAM47E, FAT4, FDCSP, FGA, FGB, FGF2, FGF5, FNIP2, FRAS1, FREM3, G3BP2, GALNTL6, GAR1, GC, GK2, GLDC, GLRA3, GLRB, GNRHR, GRIA2, GRID2, GSTCD, GSX2, GUCY1A3, GUCY1B3, GUF1, GULP1, GYPA, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HHIP, HMGN1, HNRNPD, HNRNPDL, HOPX, HOXB4, HPGD, HPGDS, HPSE, HRH1, HSD17B11, HSD17B13, HSPA4L, HTN1, HTN3, IBSP, IGFBP7, IGJ, IL15, IL2, IL21, INPP4B, INSIG2, INTU, ISG20, ITGB6, JADE1, KDR, KIAA0922, KIAA1109, KIT, KLHL2, KLHL5, KLHL8, LARP1B, LEF1, LMTK2, LNX1, LPHN3, LRAT, LRBA, LRIT3, LRP2BP, LRRC66, LYPD6, LYPLA1, MANBA, MAP9, MAPK10, MARCH1, MEPE, MFAP3L, MFSD1, MFSD10, MFSD8, MGARP, MGAT4D, MMAA, MMRN1, MOB1B, MRPL1, MRPS18C, MTHFD2L, MTNR1A, MTTP, MUC7, MYL5, MYOZ2, N4BP2, NAA11, NAAA, NAP1L5, NDNF, NDST3, NDST4, NEUROG2, NFKB1, NKX6-1, NMU, NOA1, NOVA2, NPFFR2, NPNT, NPY1R, NPY2R, NPY5R, NR3C2, NUDT6, NUDT9, ODAM, OTUD4, PACRGL, PANK1, PAPSS1, PAQR3, PARM1, PCDH10, PCDH18, PDCL2, PDE5A, PDGFC, PDGFRA, PDHA2, PDLIM3, PDLIM5, PET112, PF4, PF4V1, PGRMC2, PI4K2B, PIGY, PITX2, PKD2, PLAC8, PLK2, PLRG1, POU4F2, PPBP, PPEF2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRKG2, PROL1, PRR27, PRSS12, PRSS48, PTPN13, PYURF, QRFPR, RAB33B, RAP1GDS1, RASGEF1B, RASL11B, RASSF6, RBM46, RCHY1, REL, REST, RGMA, RNF150, RNF175, ROS1, RRH, RUFY3, RXFP1, SAMD3, SAV1, SCARB2, SCD5, SCFD2, SCLT1, SEC24B, SEC24D, SEC31A, SEPT11, SETD7, SFRP2, SGCB, SGMS2, SH3D19, SH3RF1, SHROOM3, SLC10A6, SLC25A31, SLC25A4, SLC39A8, SLC7A11, SLC9B2, SMAD1, SMARCAD1, SMIM14, SMIM20, SMR3B, SNCA, SNX25, SORBS2, SOWAHB, SPARCL1, SPATA18, SPATA4, SPINK2, SPOCK3, SPP1, SPRY1, SRP72, STAP1, STATH, STBD1, STPG2, SULT1B1, SULT1E1, SYNPO2, TACR3, TBC1D19, TBC1D9B, TBCK, TECRL, TET2, THAP6, THAP9, THEGL, TIFA, TIGD2, TKTL2, TLL1, TLR2, TLR3, TLR6, TMEM144, TMEM150C, TMEM154, TMEM184C, TMEM192, TMPRSS11A, TMPRSS11B, TMPRSS11D, TMPRSS11E, TNIP3, TRAFD1, TRAM1L1, TRIM60, TRIM61, TRIML2, TRMT10A, TRPC3, TSPAN5, TTC29, UBAP1L, UBXN2A, UCP1, UGT2A1, UGT2A2, UGT2A3, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UGT8, USP46, USP53, VEGFC, WDFY3, WDR17, ZGRF1, ZNF330, ZNF385D, ZNF827, ZSCAN9",Thyroid,1.27E-06,0.000168
